	TREATMENT RECOMMENDATIONS					
33c532bd-a5ec-4ef7-a56c-8d099e6323c8					Lung abscess
4c049075-5a33-4a85-9248-040289f89e02						SINGLE PRESENTATION	
5a578d58-78e7-41b2-abdf-ff9a6ae79f1a					Empyema	
217b85e8-a00b-409a-8a9f-caa14b7ac745						Acute
ea7e068e-2ff5-420f-bbb2-962e33a3b9d2						Chronic
7705898d-e9cb-400a-86c1-6caaecdc0e87					Pneumocytis jiroveci (previously P. carnii) pneumonia (PJP)	
0b34ffe2-939a-4824-945e-268662cae507						Normal
0d2ebd52-4298-4ecf-87d7-186ea61d81f0						Prophylaxis and post-treatment suppression
3e61224d-3303-43e2-9ee1-4f7135f6a30e					Tuberculosis	
df1c4d87-28b3-4081-918b-9cd700c71b15						SINGLE PRESENTATION
450f1a59-9b75-40ba-a229-5024708f500d			Gastrointestinal			
8bb5b60e-68fd-4df2-bb77-f8f6e2f17c48					Gastroenteritis	
2fa7598b-576d-4aef-8a30-21c19f40561f						Mild-moderate
e83a8e3f-10b4-4677-aa73-197aa8ce5c8c						Severe
0e44171f-6466-448f-8e68-301cba453268					Travellers' diarrhea	
1c3d168c-0c72-49d4-b2be-653350307007						Mild-moderate
f5d0f48f-a4dc-4b4f-91aa-7e5a5921ab38						Severe
60621d21-dd14-4aa0-b91b-360fef617893					Clostridium difficile-associated diarrhea (CDAD)	
d0910dc5-3d22-4b0f-8228-a09c5edd3cda						Mild
e6bda811-5d84-4288-be02-46bbbf3edded						Acute
ccc9b31f-9d18-4418-a772-d9b5fc628fc5						Severe/toxic megacolon
173335b6-8f18-47fd-8796-910605ffba1c						Recurrence - initial
5160906d-f78b-49ec-9691-815a42e76f1e						Recurrence - subsequent
ee6ca551-d071-4a3a-8a90-88fac83a9c57					Helicobacter pylori associated duodenal/gastric ulcer	
8909932b-e333-4cb6-88e6-612664a8dbe5						Initial therapy
f1219bdc-2708-40ea-8c31-6dcd7054dad5						Failure of therapy
51687e0b-4e75-44cb-a957-b9ddaa917277					Cholecystitis	
21360f2c-e8a7-4aed-8744-dfc72ad2981f						Acute
76a6c604-d1e4-408c-9d76-092a60f92052						Recurrent
08ef317f-3a84-4286-994d-98d2e4fae32e						Perforation/pericholecystic abscess
23318a65-72ff-4af6-8b08-efae80874eb2					Pancreatitis	
01504189-fe44-4c9f-be8f-02c3faf5ed5c						Acute
4158870f-ab3f-4a10-8a9d-692a5c1cd426						Complicated
f9a7b175-fd78-4f78-8484-4de0798c5118					Liver abscess	
575cd566-079c-46ea-a7ce-4759566ae333						Bacterial
6ba1c95f-7874-4644-a3ff-f7ae24101774						Parasitic
9ab5a3d5-445b-4cb2-b5ff-73e9447d5984					Diverticulitis	
5ad9cbee-7ac3-49e3-a3df-1446d7a04f4e						SINGLE PRESENTATION
75ce9d53-c6cc-4f1b-8efb-537b36bbcbcb					Appendicitis Acute	
73cfe34c-9162-438e-aa26-270c5e4b9d35						SINGLE PRESENTATION
ae103ff6-db67-4cac-a283-6b4219f9907c					Peritonitis	
a779e6e0-38ef-4a4e-9d25-1bad7f2639cd						Spontaneous bacterial peritonitis (SBP)
519e35a8-4ed0-47c0-a292-869ae78dcc7e						Secondary peritonitis
b68bbdab-08b4-4de1-b73c-ebb6ed8ef2c1						Chronic/complicated peritonitis or Recurrent/Failure of therapy for 2¡ peritonitis
7366ae8d-03e9-4e3e-bf7d-8037e544deb4						Peritoneal Dialysis-related peritonitis
1daf1217-d9fc-4428-b926-d9425af8d544			Genital			
32ca6e75-3180-4706-a3a8-6835cdb9a0d3					Vulvovaginitis 	
a5510470-d077-4ad7-ac49-d23d9fe7e777						Candidiasis
2799a848-1d96-4b52-8ccc-615f587394db						Trichomoniasis
0b907bc9-738e-48fe-a971-82cbe2b10291						Bacterial vaginosis
d7f2091a-e798-4f2d-9637-6b75fd4fc615					Lymphogranuloma venereum (LGV)	
6d11a303-a818-474c-85d6-7c6f9a61bd79						SINGLE PRESENTATION
2c1b865e-7f2d-4bf6-9112-f7d6e1a360df					Cervicitis	
029524ff-49a8-45c5-8702-259728c5da66						Chlamydial
3b66ca32-2643-4e70-b5c8-01960b0eaed4						Gonococcal
5e6bd8b7-ee69-45d2-9fe7-55fdb29c10fc						Nonchlamydial/nongonococcal
ed302b6e-8d91-4e31-88b9-d269d5f40af7					Urethritis (male)	
7fcf120e-a072-4dbf-97af-9a14414717df						Chlamydial
a7cbc941-db02-450c-bcb3-76af461edfbb						Gonococcal
7362c7f6-1641-4997-84d6-ff39eed99606						Nonchlamydial/nongonococcal
32b32cf4-a9aa-435c-ae66-c2a64ed40947					Epididymo-orchitis	
4b453057-6bae-4e5d-9853-b3d34072d6a7						Sexually transmitted 
198bfbea-5d8b-4872-9396-19e8258d3d58						Non-sexually transmitted 
03d59ae3-ba2a-4cff-9218-a0b5b82488b0					Pelvic inflammatory disease	
c0ded526-1355-4c10-8731-c95c6ee3d18d						Mild-moderate
2ef32306-9ea5-4bec-a351-47229a26d47a						Moderate-severe
1767af50-1ddd-4712-aecc-a9e5b5455a82						Chorioamnionitis
418af1db-00ef-48c6-8785-97ba7105dfa2					Endometritis	
917dc4ca-a5e4-47c6-be29-44f7fc7f5e12						Postpartum Early
650ac92c-a3fd-4e77-9d3f-581f2bd97f1e						Postpartum Late
8a3c9133-bf97-4683-b200-81eedcbd6d9f					Septic pelvic vein thrombophlebitis 	
b3aecd5b-51e6-4562-a373-3542bc9b3f50						SINGLE PRESENTATION
f50de37a-b75d-4fec-8fd7-7df1b7f930b4					Labial abscess	
39cb7872-ad8f-4bd7-8e04-352a6ca6e4d0						SINGLE PRESENTATION
d5b55dfa-146a-41c8-be35-f40c543935b5					Prostatitis	
93486c32-0620-4947-b54d-8cd72ea88c29						Acute
d33a3e26-ddd0-4a34-b6f9-5ed375703cee						Chronic
9ebeb6ca-93a8-4ee4-b8e5-b26ab6a372c1					Proctitis	
e9fe7603-c630-46c6-b2bd-ed6291d2e9cf						SINGLE PRESENTATION
96cbc7d0-c4ba-4593-a1d9-0e7908deeffd					Genital ulcers/lesions	
18dd3ae5-5374-4c03-b334-5efeabc4d5a1						Herpes primary episode
0c8311d6-cb82-41e5-b040-8ca58706d800						Herpres recurrent
40f1e9dd-2833-40f2-8d45-0b8c0b93f8ab						Herpes pregnancy - primary episode
b611e280-1617-4ed8-88c8-aab60d534fba						Herpes pregnancy - recurrent
9fab60cf-dccc-45f7-84cb-a2ac156ed30e						Syphilis
06682028-0f1f-4b5d-87df-ff8ed24afa20						Syphilis - Latent > 1 year duration (late) or Cardiovascular
e13bc857-aeea-4b54-af38-cb27977b6062						Syphilis - Neurosyphilis
dbe24c36-a0bb-4903-b598-fba1fe914911						Chancroid
305e98f5-cbe2-4e7b-ba1f-6c06d04c065a						Genital Warts
6794bbba-54d4-4b5e-9e91-6ef6788c7cad						Condyloma acuminata
aff8a2f2-e3da-4ed2-a4c0-f17de25a1bf3					Scabies	
3bd87949-0730-44b9-899f-e7af59220d92						SINGLE PRESENTATION
57c079ef-c274-452e-80c1-027d6564f8d9					Pubic Lice	
ecf79b42-5314-4e10-a566-7daa6827b70a						SINGLE PRESENTATION
d7a1d98f-f7db-4ac9-8deb-1f3b5f75c53d			Urinary Tract			
207ab10a-315a-4b1f-a943-fc994fbb5552					Asymptomatic Bacteriuria	
7e62bcea-d8a4-469d-9bc4-6ba2b7c6d3aa						Adult males/females
cb936c9f-13c8-430c-8574-2cf9a60f45b9						Prior to:
3c082af3-30a9-4926-8689-c662f1156be9						Pregnancy
9910af81-aea4-4e04-8e99-8ace27799a8a						Diabetes (Type I & II) with glycosuria
b3a83d79-311d-4f12-90b1-a9e924d65707						Cirrhosis
b0d417de-2252-4bc7-9d70-9aaae22610ed					Cystitis 	
224510ee-c1a9-4e40-b6ec-3109c161ae4e						Females Sexually active, first episode
d427b03f-8fe2-45a6-ba9f-9d584aaf854d						Females Sexually active, Recurrent cystitis
3e9cc4be-daed-4b6d-bdb4-bee39b7185dd						Females recurrent - related to coitus
369708ef-4b19-4c43-8f11-19d12ec1be15						Females  recurrent  - unrelated to coitus
3b1a8541-381c-4f96-bc0c-a48c33abae60						Males
a8d20143-20f1-4b7e-9a73-d1678dbbd01c						Males - first episode
dea83582-dd19-4930-870d-6a8503a97dfc						Males - recurrent
b52e1a4e-9ea3-4f00-b58d-86a869621486					Complicated UTI	
f090b862-7e1d-49fa-9439-2b74236828f6						Complicating factors:
7276391d-c619-4d4e-bca4-bfd23241033f						Abnormality of urinary tract:
fe6a768d-01c3-4397-aae4-41446ec3d12c						Pregnancy
c8836235-3fd9-49a8-8460-0d2c6d9ed657						Chronic catheterization
9735b07a-2ebe-45af-ac70-41a5bf05f570					Pyelonephritis	
621e859d-2d64-484b-bec4-ff9455ba7ba8						Uncomplicated
6d3f872a-1994-43b1-84ac-a952ed23c031						Complicated
232ba983-a37c-4254-9812-3e0bda2295c6						Pregnancy
b8ba6aa2-256c-4b72-b47f-27ebccf94dfc			Central Nervous System			
942b90b6-cfdb-4ce6-b018-36aa9bf9f602					Meningitis	
514e3ba5-498f-4357-bf09-e388a389f4e1						< 18 years old
a7569f64-5939-452b-8b62-6a6ea2859083						18-50 years old
745271e7-41f5-4181-a9da-230f1bacb1b0						Adult > 50 years
13efa49f-1834-4ac1-b9ba-5a820d8743c2						Post trauma or post operative
aa2cd3be-62f9-4fb4-8206-7cd3ee824cb4						Shunt (meningitis/ventriculitis)
f4ae64ab-0f0f-41ac-9fc5-74736c324a5e						
1d21ea7e-e176-4cf4-92be-3ca635ced150					Brain Abscess	
39fc67d5-b834-42be-9847-cf2e07b2e8c4						Contiguous 2o to sinusitis/otitis
5fb0e718-92c1-4eb7-8444-9a31766d8112						Hematogenous 2o to endocarditis
84570262-be0c-4609-b665-015a907a1419						Post trauma / Post neuro-surgery
6dc3d2fa-c5c9-4340-8452-8f711ddb10a8						HIV
b2868aa7-0219-4056-bd46-eac3e8d8db01					Epidural abscess	
e66b5fd5-6143-4794-8eb1-936361a0c016						SINGLE PRESENTATION
73984598-4604-4e02-8535-e08ef3ca58a0					Subdural empyema	
834a5fcd-a5ce-4e65-bac6-dfbd612e6bfd						SINGLE PRESENTATION
87a84555-c5fd-4c96-92f6-c0b63b59af04					Encephalitis	
4115cb72-ef1c-49b1-a60e-400f70cad6ac						SINGLE PRESENTATION
9a80eb9b-6438-48bd-901c-e258f29f4bf3			Vascular			
b1b821fd-66c2-4316-97e3-9d38188b9bdb					Pericarditis	
612a8ad9-910d-4bba-b1e1-deb1df64641c						SINGLE PRESENTATION
c0cf6533-c4c9-480b-ad85-c7d187672849					Endocarditis	
37bdbd5c-334f-474c-9fff-4809fbd9989c						Native valve (non-IVDU)
feed97da-e652-4cff-9d8e-bc58169b0024						Intravenous Drug Users (right-sided)
12c6c370-b63b-4b3c-9dc1-5cb9fa988918						Prosthetic valve early (< 8 weeks)
cbf0e055-db66-449f-9f49-0bdb0473f942						Prosthetic valve LATE (< 8 weeks)
181e36db-9d34-4ad3-82d9-a4177d2968ce			Sepsis			
8249ad74-8272-4c0c-aa56-c72f5c693ac8					Community-acquired Intraabdominal source	
5012b4c7-97a2-4aaf-b275-bbf0fae567a9						SINGLE PRESENTATION
bbd29333-6779-4519-895a-e506073f19fb					Intravenous drug users	
e112d8ed-0da3-4061-9f44-08610fc64315						SINGLE PRESENTATION
c4a6ff44-658d-4f0b-81e5-122d5fcbb03f					Pelvic source	
9b6024de-095d-46fb-b18d-e3917132163f						SINGLE PRESENTATION
952a5698-43cf-4d35-8d92-969eb4ebd280					Respiratory source	
23aecbba-4b1c-46e4-9f2c-4dffa28118b4						SINGLE PRESENTATION
1a2db82c-94d1-44ce-886d-59c087f856a4					Splenectomized	
54a3efa8-35d8-405a-a7a2-e1c8536eaa81						SINGLE PRESENTATION
b929607b-b387-454f-88f5-579a7cc61b21					Urosepsis	
7b7f7646-1095-4d04-a59d-9c337b324ea0						SINGLE PRESENTATION
141e36aa-291b-45d4-b234-9251a245ac0d					 Community-acquired Septic shock - source unknown	
b2c5c37e-fa78-4509-8e1a-66b1d0df43c5						SINGLE PRESENTATION
2dd6c946-d5bc-459d-8570-ed908b98207f					Hospital acquired -Respiratory source	
26076a48-8241-44c2-a811-8749cbdde7c1						SINGLE PRESENTATION
2b9f44ab-02b6-4e0b-a338-aa8d8a1aa6c2					Hospital acquired -  Intraabdominal source	
2f86b1d1-2ce9-4962-b49b-b16eaeff7ea7						SINGLE PRESENTATION
7d0e476a-b5c6-417d-b2e0-ea1137c1f9fa					Hospital acquired -  Pelvic source	
34a83bbe-fb2a-4fdd-901c-c595fa0ca607						SINGLE PRESENTATION
84c2e8c8-0270-4179-b1ce-6d96fc1b9b92					Hospital acquired - Line related	
b34da7e1-d387-49ca-9f37-ff7616ddb736						SINGLE PRESENTATION
72e6a4a0-0599-423a-a048-716ad8bc3cc0					Hospital acquired -  Hyperalimentation	
7546e55d-14a7-4a06-b688-22d299e914B7						SINGLE PRESENTATION
F5b6b229-68c0-423b-903f-98781ffe50ee					Hospital acquired -  Candidemia	
6c2e7f71-4B10-41d2-92a2-25737b2db442						SINGLE PRESENTATION
bb32a0d8-e91d-4a5b-983a-a1ca6dfe2e1b			Febrile Neutropenia			
